Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
56,Travel_Rarely,875,Sales,24,2,Technical Degree,2,Male,50,2,1,Laboratory Technician,1,Married,10541,15054,7,No,16,4,1,3,6,2,3,17,11,11,6,Yes
46,Travel_Rarely,1386,Research & Development,24,3,Life Sciences,2,Male,43,1,3,Healthcare Representative,3,Married,16007,16070,7,No,19,4,3,3,34,6,3,17,1,8,6,No
32,Non-Travel,373,Sales,17,3,Marketing,1,Male,89,4,5,Research Director,2,Married,2574,11485,4,No,22,4,2,3,20,2,2,2,10,9,0,No
25,Non-Travel,1126,Research & Development,13,1,Life Sciences,4,Male,52,2,4,Research Director,3,Divorced,16674,21250,2,No,23,3,4,2,0,4,4,0,0,7,7,No
38,Non-Travel,1151,Research & Development,24,5,Other,1,Female,58,2,4,Laboratory Technician,4,Divorced,16426,16413,8,No,17,4,1,0,5,6,4,32,4,9,9,No
56,Travel_Rarely,425,Human Resources,18,2,Medical,4,Male,76,2,2,Research Director,3,Divorced,8095,13855,6,Yes,12,4,3,3,38,1,4,6,13,4,0,No
36,Travel_Rarely,1039,Research & Development,22,3,Life Sciences,1,Male,59,4,4,Research Director,4,Married,13023,8153,0,No,24,4,2,1,33,4,4,9,17,11,14,No
40,Non-Travel,1272,Sales,13,4,Technical Degree,4,Male,67,4,2,Laboratory Technician,1,Divorced,4255,7587,7,Yes,16,4,3,2,17,6,1,7,6,12,14,Yes
28,Travel_Rarely,639,Sales,17,3,Human Resources,1,Female,56,2,2,Research Scientist,4,Married,2058,10827,9,No,24,3,2,0,24,5,2,31,4,11,3,No
28,Non-Travel,587,Sales,5,2,Life Sciences,3,Female,44,4,3,Research Scientist,4,Divorced,2957,26097,4,No,15,4,2,1,14,6,3,22,7,8,9,No
41,Travel_Frequently,921,Research & Development,11,3,Life Sciences,4,Female,88,2,1,Human Resources,1,Divorced,5944,8861,5,No,16,4,4,1,31,5,3,16,14,8,7,No
53,Non-Travel,1188,Sales,7,1,Marketing,2,Female,32,3,2,Sales Representative,2,Married,6058,12804,8,No,23,3,1,2,17,5,2,13,4,2,13,Yes
57,Non-Travel,455,Research & Development,29,3,Technical Degree,1,Male,39,4,2,Manager,1,Divorced,3519,15979,9,No,18,4,4,2,30,6,3,16,12,11,12,No
41,Non-Travel,1375,Sales,10,3,Other,2,Male,46,3,3,Sales Representative,3,Married,12845,3297,7,No,18,3,1,2,28,6,1,24,18,7,16,No
20,Travel_Rarely,334,Sales,17,4,Human Resources,1,Male,40,1,2,Research Director,1,Divorced,3570,16745,2,No,13,4,1,3,14,0,4,20,1,3,6,No
39,Travel_Frequently,326,Research & Development,15,1,Medical,2,Female,77,4,5,Sales Executive,3,Divorced,8450,2357,4,No,19,3,2,0,22,6,2,5,4,9,5,No
19,Travel_Rarely,1436,Sales,18,1,Life Sciences,2,Male,34,1,1,Research Director,2,Divorced,8703,18300,3,Yes,16,3,3,3,37,5,3,19,4,6,8,No
41,Non-Travel,148,Human Resources,23,3,Other,1,Male,98,2,5,Laboratory Technician,3,Divorced,16898,16433,0,Yes,17,4,1,2,10,3,1,19,5,9,7,No
47,Travel_Rarely,217,Research & Development,22,4,Human Resources,1,Male,93,4,4,Laboratory Technician,1,Single,15389,23486,4,No,19,3,1,2,14,4,3,25,15,7,13,No
55,Travel_Rarely,153,Research & Development,19,3,Medical,2,Female,43,4,1,Manager,1,Married,16414,18624,9,No,24,3,1,2,22,5,1,31,1,6,2,No
19,Non-Travel,664,Research & Development,26,3,Other,2,Female,79,4,4,Manufacturing Director,2,Single,1744,12796,6,No,23,4,1,3,2,1,3,7,4,4,12,No
38,Travel_Rarely,1167,Human Resources,2,2,Technical Degree,2,Female,55,1,2,Manufacturing Director,1,Divorced,4514,25238,0,No,17,4,2,1,18,6,4,28,14,10,8,Yes
50,Travel_Frequently,152,Research & Development,26,2,Technical Degree,4,Male,98,1,3,Manufacturing Director,2,Divorced,11871,20210,3,Yes,20,4,4,2,0,5,2,16,0,0,8,Yes
29,Non-Travel,657,Sales,4,4,Human Resources,4,Male,36,2,5,Human Resources,2,Married,14536,10115,5,No,19,4,3,3,23,3,4,17,18,11,10,No
39,Travel_Rarely,1225,Sales,3,5,Medical,3,Male,45,3,4,Research Director,1,Married,1175,21942,8,No,11,4,2,2,10,6,4,39,2,7,5,No
42,Travel_Rarely,967,Sales,7,2,Technical Degree,4,Male,84,3,2,Laboratory Technician,4,Married,17949,5860,7,No,23,4,2,3,29,3,3,17,18,4,11,No
44,Travel_Rarely,497,Research & Development,24,5,Human Resources,4,Female,85,1,5,Sales Executive,3,Married,4217,14443,1,No,11,4,2,0,10,3,4,10,14,2,3,No
59,Non-Travel,1261,Sales,18,1,Technical Degree,1,Male,33,4,5,Sales Executive,4,Divorced,16106,6447,2,No,13,4,1,0,38,3,2,11,2,1,3,No
45,Non-Travel,774,Research & Development,10,2,Technical Degree,3,Female,77,3,4,Sales Executive,2,Married,14696,22523,9,No,23,4,3,3,0,3,1,14,7,2,16,Yes
33,Travel_Frequently,486,Sales,7,2,Other,3,Male,46,3,2,Manufacturing Director,3,Single,10586,18521,4,Yes,19,3,2,2,11,1,1,25,14,12,6,No
32,Travel_Frequently,210,Human Resources,8,4,Other,4,Female,65,1,3,Manager,4,Married,6802,22118,6,No,11,3,2,3,3,0,3,2,0,8,5,No
20,Travel_Rarely,713,Human Resources,6,5,Technical Degree,1,Male,99,2,4,Manufacturing Director,1,Married,8034,3967,2,Yes,11,3,2,0,24,2,2,2,5,1,7,No
54,Travel_Rarely,116,Human Resources,22,2,Marketing,1,Male,67,1,5,Laboratory Technician,4,Single,17263,8579,6,Yes,15,3,1,3,7,0,2,37,16,13,6,No
24,Travel_Rarely,1305,Human Resources,26,2,Other,3,Female,91,1,5,Research Director,3,Single,10412,6849,4,Yes,18,3,1,0,14,2,1,34,15,9,7,Yes
38,Travel_Rarely,983,Research & Development,1,4,Medical,1,Female,77,4,1,Research Director,3,Single,18331,26718,9,Yes,12,3,2,0,29,4,1,8,12,0,8,Yes
26,Travel_Rarely,640,Sales,4,4,Human Resources,2,Male,39,1,2,Manager,3,Single,9776,9167,5,No,14,3,1,1,39,6,4,39,0,14,0,No
56,Non-Travel,270,Human Resources,14,5,Human Resources,4,Male,65,4,1,Human Resources,3,Married,12054,24326,5,Yes,16,4,3,2,31,3,3,3,2,1,2,Yes
35,Travel_Frequently,508,Research & Development,17,1,Medical,2,Male,58,2,3,Sales Executive,4,Single,10812,9466,3,Yes,11,3,1,3,34,4,1,19,5,12,10,Yes
21,Travel_Rarely,839,Human Resources,20,1,Medical,3,Female,33,4,4,Research Director,1,Divorced,12399,24789,7,No,14,3,2,2,20,4,1,14,19,14,15,No
42,Travel_Frequently,1311,Human Resources,18,3,Medical,3,Male,73,2,5,Manager,1,Married,15963,14349,8,No,14,3,3,2,30,6,2,28,2,1,5,No
31,Non-Travel,957,Research & Development,11,2,Medical,1,Female,85,2,2,Sales Executive,3,Divorced,11768,23899,1,No,19,3,1,0,35,2,2,4,14,11,1,No
26,Non-Travel,329,Research & Development,29,5,Life Sciences,1,Male,71,2,5,Manufacturing Director,1,Married,1531,26435,8,No,19,3,2,0,26,1,2,38,14,10,3,Yes
43,Non-Travel,218,Sales,21,2,Human Resources,3,Male,42,1,1,Healthcare Representative,4,Married,18615,4019,3,No,16,4,4,3,7,3,1,39,10,14,4,No
19,Travel_Rarely,1279,Sales,26,5,Life Sciences,3,Male,75,4,1,Sales Representative,1,Divorced,19081,8174,5,No,18,3,4,3,22,5,3,6,5,4,13,No
37,Travel_Frequently,883,Human Resources,14,5,Technical Degree,2,Male,62,3,4,Research Director,2,Single,18929,17689,6,Yes,22,3,3,3,22,6,4,7,5,0,0,Yes
45,Non-Travel,564,Human Resources,9,5,Technical Degree,2,Female,50,1,2,Human Resources,1,Single,12357,9092,3,No,20,4,3,0,32,6,3,31,8,12,13,Yes
24,Travel_Frequently,203,Sales,27,2,Human Resources,1,Female,86,2,2,Manager,3,Divorced,2437,21233,7,Yes,14,3,3,1,12,4,1,35,13,11,12,Yes
25,Travel_Rarely,797,Sales,15,4,Technical Degree,2,Male,98,3,4,Human Resources,1,Single,6502,19576,9,Yes,20,4,1,3,38,0,4,32,10,14,15,No
52,Travel_Frequently,274,Research & Development,12,2,Medical,1,Male,99,1,1,Manufacturing Director,1,Married,8608,12505,7,No,18,4,3,0,34,3,3,36,5,9,3,No
31,Non-Travel,844,Sales,10,5,Life Sciences,1,Male,96,3,1,Research Director,1,Married,6566,4355,0,No,13,4,1,1,15,1,1,31,17,7,5,No
34,Travel_Frequently,1257,Sales,19,3,Medical,4,Female,77,2,1,Laboratory Technician,1,Married,9808,20890,7,No,12,3,2,2,11,3,3,35,19,1,8,No
53,Travel_Rarely,764,Human Resources,24,1,Technical Degree,1,Male,62,3,5,Manufacturing Director,2,Single,5014,2333,9,No,16,3,1,0,30,5,1,33,14,5,0,No
57,Non-Travel,132,Sales,19,5,Other,2,Female,65,3,3,Manufacturing Director,4,Single,19640,4562,2,No,15,4,1,3,4,5,2,24,8,4,16,No
21,Non-Travel,154,Human Resources,6,3,Life Sciences,3,Female,62,2,1,Manager,3,Divorced,14613,16776,4,No,18,3,2,3,39,4,3,31,10,1,3,No
19,Travel_Frequently,618,Sales,20,4,Medical,3,Female,60,3,3,Human Resources,3,Married,8399,3795,9,Yes,11,3,4,1,24,0,2,1,1,9,5,Yes
23,Travel_Frequently,855,Research & Development,24,5,Human Resources,2,Female,50,1,3,Manager,1,Divorced,1931,17270,7,No,21,4,1,1,20,4,2,8,5,11,15,Yes
59,Non-Travel,111,Sales,27,3,Medical,3,Male,56,3,2,Sales Executive,4,Single,19713,2253,5,No,22,4,1,0,2,1,4,37,13,0,6,No
21,Travel_Rarely,819,Sales,6,5,Other,1,Male,91,4,4,Healthcare Representative,1,Divorced,17777,5657,3,Yes,20,3,2,1,9,2,4,28,13,5,4,No
46,Travel_Frequently,654,Sales,8,2,Technical Degree,3,Female,55,1,5,Human Resources,2,Single,3465,25886,3,No,13,4,3,0,22,5,3,37,12,13,8,No
35,Travel_Frequently,472,Human Resources,1,3,Life Sciences,2,Male,95,3,3,Healthcare Representative,4,Married,16623,11615,3,No,17,4,2,1,16,0,1,17,4,5,0,No
43,Travel_Frequently,583,Research & Development,22,2,Human Resources,3,Male,41,4,5,Manager,4,Married,15008,5237,5,Yes,23,3,4,2,34,5,4,21,8,14,7,No
51,Travel_Rarely,1072,Sales,17,2,Life Sciences,1,Male,51,4,2,Laboratory Technician,4,Single,9817,5331,6,No,20,3,3,3,24,1,4,34,10,2,3,No
27,Travel_Rarely,1351,Human Resources,17,3,Human Resources,1,Female,46,4,1,Research Director,4,Single,6988,3027,4,No,24,4,4,3,1,1,2,14,6,12,16,No
